category,type,date,impressions,clicks,cost_micros
Feeditem,AffiliateLocation,2022-01-01,59611,5209,11284430000
Feeditem,AffiliateLocation,2022-01-02,65963,6192,13016830000
Feeditem,AffiliateLocation,2022-01-03,53127,5506,11096040000
Feeditem,AffiliateLocation,2022-01-04,92016,10371,69377630000
Feeditem,AffiliateLocation,2022-01-05,94892,11361,77287670000
Feeditem,AffiliateLocation,2022-01-06,95051,11451,75422290000
Feeditem,AffiliateLocation,2022-01-07,84815,10230,57496490000
Feeditem,AffiliateLocation,2022-01-08,89532,10777,58143870000
Feeditem,AffiliateLocation,2022-01-09,87640,10767,56148180000
Feeditem,AffiliateLocation,2022-01-10,92848,11217,65454760000
Feeditem,AffiliateLocation,2022-01-11,77492,9341,44243160000
Feeditem,AffiliateLocation,2022-01-12,72178,8994,26703390000
Feeditem,AffiliateLocation,2022-01-13,58680,7649,18932230000
Feeditem,AffiliateLocation,2022-01-14,56560,6799,17953020000
Feeditem,AffiliateLocation,2022-01-15,58050,6979,18097260000
Feeditem,AffiliateLocation,2022-01-16,56378,6931,17465080000
Feeditem,AffiliateLocation,2022-01-17,58291,6831,18093980000
Feeditem,AffiliateLocation,2022-01-18,56516,6585,15227500000
Feeditem,AffiliateLocation,2022-01-19,59837,6869,16068080000
Feeditem,AffiliateLocation,2022-01-20,61257,7050,20299240000
Feeditem,AffiliateLocation,2022-01-21,64730,7712,22808290000
Feeditem,AffiliateLocation,2022-01-22,71118,8296,26297770000
Feeditem,AffiliateLocation,2022-01-23,71794,8743,26429070000
Feeditem,AffiliateLocation,2022-01-24,67206,8174,25209140000
Feeditem,AffiliateLocation,2022-01-25,62352,7477,16503530000
Feeditem,AffiliateLocation,2022-01-26,63716,7774,18011060000
Feeditem,AffiliateLocation,2022-01-27,64849,7967,21945640000
Feeditem,AffiliateLocation,2022-01-28,63925,7892,23480560000
Feeditem,AffiliateLocation,2022-01-29,67250,8353,24085450000
Feeditem,AffiliateLocation,2022-01-30,67515,8406,25574030000
Feeditem,AffiliateLocation,2022-01-31,56592,7308,21476490000
Feeditem,AffiliateLocation,2022-02-01,60919,7983,29180770000
Feeditem,AffiliateLocation,2022-02-02,70880,8976,33561360000
Feeditem,AffiliateLocation,2022-02-03,68169,8528,33804850000
Feeditem,AffiliateLocation,2022-02-04,64517,8104,30159350000
Feeditem,AffiliateLocation,2022-02-05,67012,7982,27386030000
Feeditem,AffiliateLocation,2022-02-06,64298,8008,24068540000
Feeditem,AffiliateLocation,2022-02-07,58634,7358,23858110000
Feeditem,AffiliateLocation,2022-02-08,58872,7825,27743900000
Feeditem,AffiliateLocation,2022-02-09,59806,7669,27993140000
Feeditem,AffiliateLocation,2022-02-10,61060,7691,24643410000
Feeditem,AffiliateLocation,2022-02-11,60174,7267,26004380000
Feeditem,AffiliateLocation,2022-02-12,61651,7348,24890930000
Feeditem,AffiliateLocation,2022-02-13,60105,7373,23680200000
Feeditem,AffiliateLocation,2022-02-14,54038,6703,21475990000
Feeditem,AffiliateLocation,2022-02-15,57031,7042,26712770000
Feeditem,AffiliateLocation,2022-02-16,55314,6960,23777000000
Feeditem,AffiliateLocation,2022-02-17,57116,6830,25213940000
Feeditem,AffiliateLocation,2022-02-18,59978,7283,25494260000
Feeditem,AffiliateLocation,2022-02-19,71562,8839,29384380000
Feeditem,AffiliateLocation,2022-02-20,72521,9172,28808860000
Feeditem,AffiliateLocation,2022-02-21,72196,9147,31164190000
Feeditem,AffiliateLocation,2022-02-22,76569,9475,34372550000
Feeditem,AffiliateLocation,2022-02-23,73031,8946,38320770000
Feeditem,AffiliateLocation,2022-02-24,63977,7618,27368910000
Feeditem,AffiliateLocation,2022-02-25,55830,6409,11494860000
Feeditem,AffiliateLocation,2022-02-26,55863,6197,10956340000
Feeditem,AffiliateLocation,2022-02-27,55583,6292,11224530000
Feeditem,AffiliateLocation,2022-02-28,43654,5183,9775290000
Feeditem,AffiliateLocation,2022-03-01,47014,5462,10194140000
Feeditem,AffiliateLocation,2022-03-02,41696,5056,8959230000
Feeditem,AffiliateLocation,2022-03-03,49388,6044,19664820000
Feeditem,AffiliateLocation,2022-03-04,55124,7296,30118580000
Feeditem,AffiliateLocation,2022-03-05,57666,7623,31205600000
Feeditem,AffiliateLocation,2022-03-06,58646,7971,29832460000
Feeditem,AffiliateLocation,2022-03-07,60841,7931,37064560000
Feeditem,AffiliateLocation,2022-03-08,65255,8162,37313010000
Feeditem,AffiliateLocation,2022-03-09,68907,8723,40743200000
Feeditem,AffiliateLocation,2022-03-10,68675,8580,46223410000
Feeditem,AffiliateLocation,2022-03-11,67858,8790,42713810000
Feeditem,AffiliateLocation,2022-03-12,71878,9045,47514570000
Feeditem,AffiliateLocation,2022-03-13,69198,8802,50963350000
Feeditem,AffiliateLocation,2022-03-14,63884,7727,26104850000
Feeditem,AffiliateLocation,2022-03-15,62882,7537,25510970000
Feeditem,AffiliateLocation,2022-03-16,59182,7045,18009950000
Feeditem,AffiliateLocation,2022-03-17,61270,7235,15912390000
Feeditem,AffiliateLocation,2022-03-18,62943,7363,16238440000
Feeditem,AffiliateLocation,2022-03-19,65575,7639,16816190000
Feeditem,AffiliateLocation,2022-03-20,63599,7912,16642320000
Feeditem,AffiliateLocation,2022-03-21,56819,6995,14670440000
Feeditem,AffiliateLocation,2022-03-22,60114,7534,15921050000
Feeditem,AffiliateLocation,2022-03-23,56265,6940,14933700000
Feeditem,AffiliateLocation,2022-03-24,52463,6497,13553030000
Feeditem,AffiliateLocation,2022-03-25,46138,5419,11795090000
Feeditem,AffiliateLocation,2022-03-26,46656,5466,12311100000
Feeditem,AffiliateLocation,2022-03-27,46085,5393,11512220000
Feeditem,AffiliateLocation,2022-03-28,44217,5412,11813950000
Feeditem,AffiliateLocation,2022-03-29,47720,5906,16791170000
Feeditem,AffiliateLocation,2022-03-30,50485,6257,19139960000
Feeditem,AffiliateLocation,2022-03-31,56651,7265,27407680000
Feeditem,AffiliateLocation,2022-04-01,46902,5222,22286650000
Feeditem,AffiliateLocation,2022-04-02,48129,5313,25253350000
Feeditem,AffiliateLocation,2022-04-03,46843,5208,30226110000
Feeditem,AffiliateLocation,2022-04-04,42422,4792,19603340000
Feeditem,AffiliateLocation,2022-04-05,42538,4950,21039980000
Feeditem,AffiliateLocation,2022-04-06,43020,4924,20517700000
Feeditem,AffiliateLocation,2022-04-07,41841,4876,20526310000
Feeditem,AffiliateLocation,2022-04-08,40733,4735,17822230000
Feeditem,AffiliateLocation,2022-04-09,41825,4607,17438190000
Feeditem,AffiliateLocation,2022-04-10,40660,4803,17527730000
Feeditem,AffiliateLocation,2022-04-11,42759,5200,19076070000
Feeditem,AffiliateLocation,2022-04-12,9851,1384,2528190000
Feeditem,App,2022-01-01,351674,69103,273579580000
Feeditem,App,2022-01-02,346695,66152,345412440000
Feeditem,App,2022-01-03,195169,38670,457447170000
Feeditem,App,2022-01-04,228597,41701,476577260000
Feeditem,App,2022-01-05,272114,49978,581694890000
Feeditem,App,2022-01-06,229906,44312,604194590000
Feeditem,App,2022-01-07,217557,44005,349444900000
Feeditem,App,2022-01-08,232091,48241,341469120000
Feeditem,App,2022-01-09,236240,48587,339036410000
Feeditem,App,2022-01-10,212042,43137,615456720000
Feeditem,App,2022-01-11,254295,46159,613061810000
Feeditem,App,2022-01-12,243246,44256,596941480000
Feeditem,App,2022-01-13,249535,45353,2209697500000
Feeditem,App,2022-01-14,256708,47835,8261276980000
Feeditem,App,2022-01-15,257807,50923,2935700590000
Feeditem,App,2022-01-16,255340,50050,4634886850000
Feeditem,App,2022-01-17,244505,46896,10516964740000
Feeditem,App,2022-01-18,234502,43325,8050437960000
Feeditem,App,2022-01-19,235315,43619,9292289340000
Feeditem,App,2022-01-20,226746,42627,8091550270000
Feeditem,App,2022-01-21,231538,45239,3931312870000
Feeditem,App,2022-01-22,247693,50024,1555773740000
Feeditem,App,2022-01-23,255581,50077,2856785290000
Feeditem,App,2022-01-24,225672,42789,5255112850000
Feeditem,App,2022-01-25,291820,52494,3070798260000
Feeditem,App,2022-01-26,340806,57819,2941192870000
Feeditem,App,2022-01-27,325992,54792,2503901110000
Feeditem,App,2022-01-28,377251,60631,2356123750000
Feeditem,App,2022-01-29,377842,66449,967301670000
Feeditem,App,2022-01-30,398173,67108,1523697990000
Feeditem,App,2022-01-31,379392,61871,2647577380000
Feeditem,App,2022-02-01,367993,62648,2423306230000
Feeditem,App,2022-02-02,367119,63900,2760302490000
Feeditem,App,2022-02-03,362878,63040,2806966330000
Feeditem,App,2022-02-04,354426,63411,2655459300000
Feeditem,App,2022-02-05,351903,63526,1983623910000
Feeditem,App,2022-02-06,360790,63746,2760569960000
Feeditem,App,2022-02-07,320920,55585,4119405500000
Feeditem,App,2022-02-08,278343,47234,3736889380000
Feeditem,App,2022-02-09,268916,46192,3238851370000
Feeditem,App,2022-02-10,286918,47498,3904437720000
Feeditem,App,2022-02-11,296913,47797,4535289760000
Feeditem,App,2022-02-12,300370,51150,2055419070000
Feeditem,App,2022-02-13,329561,51704,2185536710000
Feeditem,App,2022-02-14,241835,38873,4483180710000
Feeditem,App,2022-02-15,261398,39678,4082039470000
Feeditem,App,2022-02-16,261353,38842,4002832380000
Feeditem,App,2022-02-17,270486,39251,3949578360000
Feeditem,App,2022-02-18,296901,42102,4001562750000
Feeditem,App,2022-02-19,312262,47679,1756989360000
Feeditem,App,2022-02-20,320713,48672,1838283980000
Feeditem,App,2022-02-21,299532,46530,4589129020000
Feeditem,App,2022-02-22,270658,39910,4006200170000
Feeditem,App,2022-02-23,262368,39801,3846707520000
Feeditem,App,2022-02-24,244158,38250,3497868910000
Feeditem,App,2022-02-25,272850,43661,3086739880000
Feeditem,App,2022-02-26,275197,42530,1319331770000
Feeditem,App,2022-02-27,252967,38442,1364990690000
Feeditem,App,2022-02-28,235961,34578,4315830810000
Feeditem,App,2022-03-01,216732,31589,3771761670000
Feeditem,App,2022-03-02,204239,31107,3579009620000
Feeditem,App,2022-03-03,203623,30871,3630596850000
Feeditem,App,2022-03-04,222136,32913,3514829550000
Feeditem,App,2022-03-05,221806,33918,1847209550000
Feeditem,App,2022-03-06,214916,33216,1914658360000
Feeditem,App,2022-03-07,205925,28358,4258427960000
Feeditem,App,2022-03-08,222769,30765,3624955000000
Feeditem,App,2022-03-09,225639,33392,4084143330000
Feeditem,App,2022-03-10,214211,30750,3701931520000
Feeditem,App,2022-03-11,226019,32426,3611660680000
Feeditem,App,2022-03-12,235113,34815,1971911950000
Feeditem,App,2022-03-13,231476,34509,2201393280000
Feeditem,App,2022-03-14,221734,32358,4683030230000
Feeditem,App,2022-03-15,212021,32024,4437971860000
Feeditem,App,2022-03-16,217635,34079,5037377320000
Feeditem,App,2022-03-17,217793,34004,5342892420000
Feeditem,App,2022-03-18,239543,37431,4558284020000
Feeditem,App,2022-03-19,237387,39284,2518025920000
Feeditem,App,2022-03-20,238694,37509,2657905350000
Feeditem,App,2022-03-21,228848,36775,5283212250000
Feeditem,App,2022-03-22,236643,36333,4652682930000
Feeditem,App,2022-03-23,232425,35973,4258613960000
Feeditem,App,2022-03-24,242125,37698,4545857930000
Feeditem,App,2022-03-25,240126,36839,4871749760000
Feeditem,App,2022-03-26,233258,38078,3890752050000
Feeditem,App,2022-03-27,233607,37898,3558623110000
Feeditem,App,2022-03-28,227956,34837,4514979200000
Feeditem,App,2022-03-29,224767,34576,4419125430000
Feeditem,App,2022-03-30,203045,32663,4791512880000
Feeditem,App,2022-03-31,184227,30362,4292646890000
Feeditem,App,2022-04-01,210330,34074,3853176000000
Feeditem,App,2022-04-02,228353,37544,3751253090000
Feeditem,App,2022-04-03,233125,37726,3662092270000
Feeditem,App,2022-04-04,206264,32601,4794488760000
Feeditem,App,2022-04-05,225604,34955,4784224420000
Feeditem,App,2022-04-06,227720,35319,4837089930000
Feeditem,App,2022-04-07,220216,34936,4620324300000
Feeditem,App,2022-04-08,229499,35565,3988694030000
Feeditem,App,2022-04-09,245892,38374,2837007027528
Feeditem,App,2022-04-10,232111,38602,3506580840000
Feeditem,App,2022-04-11,208285,34264,3977672580000
Feeditem,App,2022-04-12,58471,7022,3791797875719
Feeditem,Call,2022-01-01,888129,58187,1358453386297
Feeditem,Call,2022-01-02,1019990,66671,1590150778591
Feeditem,Call,2022-01-03,1361389,94283,2667334837789
Feeditem,Call,2022-01-04,1224591,92568,2303581604630
Feeditem,Call,2022-01-05,1190729,92654,2226276834944
Feeditem,Call,2022-01-06,1222737,91115,2817819266541
Feeditem,Call,2022-01-07,1151794,86580,1401247054340
Feeditem,Call,2022-01-08,980794,72339,1518301177283
Feeditem,Call,2022-01-09,982826,69939,1179780758795
Feeditem,Call,2022-01-10,1460696,98809,2262920455139
Feeditem,Call,2022-01-11,1343203,97322,2434585972974
Feeditem,Call,2022-01-12,1335709,94890,2442734751254
Feeditem,Call,2022-01-13,1332849,91696,4455220703454
Feeditem,Call,2022-01-14,1210820,84805,12476709592430
Feeditem,Call,2022-01-15,1007386,68514,6431062477068
Feeditem,Call,2022-01-16,1011994,67733,7795264273678
Feeditem,Call,2022-01-17,1295286,93973,16441205446013
Feeditem,Call,2022-01-18,1360788,99169,15206049747381
Feeditem,Call,2022-01-19,1304915,93527,16571657324807
Feeditem,Call,2022-01-20,1270893,90258,16566401616703
Feeditem,Call,2022-01-21,1163414,81004,9322183357042
Feeditem,Call,2022-01-22,996307,69848,4564128908779
Feeditem,Call,2022-01-23,1060077,68913,6652655579912
Feeditem,Call,2022-01-24,1399506,96496,11029391178858
Feeditem,Call,2022-01-25,1355058,94709,9017290444154
Feeditem,Call,2022-01-26,1352545,94134,8769005738172
Feeditem,Call,2022-01-27,1326708,92517,7055299746515
Feeditem,Call,2022-01-28,1211552,82035,5725333339073
Feeditem,Call,2022-01-29,1023493,70401,2878334814452
Feeditem,Call,2022-01-30,1031192,67589,3224594007541
Feeditem,Call,2022-01-31,1348559,93568,3543213842007
Feeditem,Call,2022-02-01,1250672,93005,3570369565446
Feeditem,Call,2022-02-02,1207915,88965,4420983658563
Feeditem,Call,2022-02-03,1139201,86839,4846072517797
Feeditem,Call,2022-02-04,1031251,79411,5187666407465
Feeditem,Call,2022-02-05,857698,66791,4880604816376
Feeditem,Call,2022-02-06,938918,71226,6681719937340
Feeditem,Call,2022-02-07,1373820,100352,11845058836223
Feeditem,Call,2022-02-08,1180748,103976,11965114720321
Feeditem,Call,2022-02-09,1143866,101521,11255154062253
Feeditem,Call,2022-02-10,1096619,100071,12611574034221
Feeditem,Call,2022-02-11,1003831,89795,13909937762090
Feeditem,Call,2022-02-12,788328,72349,8416215958859
Feeditem,Call,2022-02-13,829791,74059,7389239591943
Feeditem,Call,2022-02-14,1117147,98896,14519420540940
Feeditem,Call,2022-02-15,1147337,103761,13313645239206
Feeditem,Call,2022-02-16,1169275,102891,15047175793221
Feeditem,Call,2022-02-17,1117488,99690,13478863309978
Feeditem,Call,2022-02-18,1060560,90083,12675515657249
Feeditem,Call,2022-02-19,832710,77403,7829325430289
Feeditem,Call,2022-02-20,899486,83905,7744902430660
Feeditem,Call,2022-02-21,1222630,107802,15528535434306
Feeditem,Call,2022-02-22,1163893,103635,14556499041906
Feeditem,Call,2022-02-23,1169092,102426,13834935867958
Feeditem,Call,2022-02-24,1107173,94244,13029594475034
Feeditem,Call,2022-02-25,978653,84839,11057060427663
Feeditem,Call,2022-02-26,739884,68241,7074533386354
Feeditem,Call,2022-02-27,751897,66600,6070855725963
Feeditem,Call,2022-02-28,1087247,92446,14151274755166
Feeditem,Call,2022-03-01,1052977,93710,13459437691085
Feeditem,Call,2022-03-02,1061824,93003,13345146913452
Feeditem,Call,2022-03-03,1028282,89267,13257693743992
Feeditem,Call,2022-03-04,948299,83688,12253993229148
Feeditem,Call,2022-03-05,728909,66409,7490830553901
Feeditem,Call,2022-03-06,752992,66323,7134068540871
Feeditem,Call,2022-03-07,1157374,100719,15682061103245
Feeditem,Call,2022-03-08,1106627,102683,14997115575050
Feeditem,Call,2022-03-09,1094671,100217,15258864396247
Feeditem,Call,2022-03-10,1060003,97588,15358012736718
Feeditem,Call,2022-03-11,994259,93862,13411884093385
Feeditem,Call,2022-03-12,826229,79190,8241235566390
Feeditem,Call,2022-03-13,844079,79411,8434402257762
Feeditem,Call,2022-03-14,1140260,105263,16104798087398
Feeditem,Call,2022-03-15,1076412,104652,15381685459158
Feeditem,Call,2022-03-16,1060768,104668,19149615963350
Feeditem,Call,2022-03-17,1031905,101492,18718845993001
Feeditem,Call,2022-03-18,940458,92268,15047045366604
Feeditem,Call,2022-03-19,758241,75312,10356404776732
Feeditem,Call,2022-03-20,800655,77489,10837048726061
Feeditem,Call,2022-03-21,1119233,106362,18590562709759
Feeditem,Call,2022-03-22,1062791,107262,19274647848310
Feeditem,Call,2022-03-23,1039285,101315,18805461467594
Feeditem,Call,2022-03-24,999911,95893,19495970612383
Feeditem,Call,2022-03-25,920977,84423,21212515305396
Feeditem,Call,2022-03-26,705872,67336,17528796289024
Feeditem,Call,2022-03-27,697363,65467,14574593104246
Feeditem,Call,2022-03-28,1077181,96773,24688127640419
Feeditem,Call,2022-03-29,1088040,96916,21548060250855
Feeditem,Call,2022-03-30,1053777,95168,20546669289060
Feeditem,Call,2022-03-31,1019048,91342,17812509913263
Feeditem,Call,2022-04-01,933122,86841,15788098773046
Feeditem,Call,2022-04-02,717502,67893,13418555738461
Feeditem,Call,2022-04-03,744856,68310,11967695082374
Feeditem,Call,2022-04-04,1102779,98042,20472606734878
Feeditem,Call,2022-04-05,1027487,92652,20350544946959
Feeditem,Call,2022-04-06,988235,92847,19456509599837
Feeditem,Call,2022-04-07,896552,86067,19012646789365
Feeditem,Call,2022-04-08,773792,76187,14910879435233
Feeditem,Call,2022-04-09,638132,60459,10469080865782
Feeditem,Call,2022-04-10,640347,61144,11746798250983
Feeditem,Call,2022-04-11,896378,86873,14430787874006
Feeditem,Call,2022-04-12,263886,27254,18167764541568
Feeditem,Callout,2022-01-01,13277954,1148300,10113717042947
Feeditem,Callout,2022-01-02,13539331,1253747,11604498013821
Feeditem,Callout,2022-01-03,10259245,1206821,13078478758267
Feeditem,Callout,2022-01-04,10189099,1201305,11078466683318
Feeditem,Callout,2022-01-05,11916092,1212930,11033176390170
Feeditem,Callout,2022-01-06,11438912,1186590,11076048887246
Feeditem,Callout,2022-01-07,13494981,1533200,12256915422183
Feeditem,Callout,2022-01-08,15982175,1766171,13159828653811
Feeditem,Callout,2022-01-09,15620522,1630700,11329945065830
Feeditem,Callout,2022-01-10,12882025,1402498,11721005973369
Feeditem,Callout,2022-01-11,12334145,1340994,10469325355618
Feeditem,Callout,2022-01-12,12785568,1291651,9527653447898
Feeditem,Callout,2022-01-13,12854269,1304630,14238672272947
Feeditem,Callout,2022-01-14,13750595,1574855,29778100458009
Feeditem,Callout,2022-01-15,14084642,1581595,17117136047762
Feeditem,Callout,2022-01-16,13850086,1495840,21328379006104
Feeditem,Callout,2022-01-17,14215433,1436425,38074840882097
Feeditem,Callout,2022-01-18,13257867,1397739,31444669109650
Feeditem,Callout,2022-01-19,14029955,1369648,32595473761112
Feeditem,Callout,2022-01-20,14383421,1420095,33305229478788
Feeditem,Callout,2022-01-21,13989707,1365399,22564445661343
Feeditem,Callout,2022-01-22,15247241,1491034,14044580104055
Feeditem,Callout,2022-01-23,15374246,1521058,18305521890661
Feeditem,Callout,2022-01-24,13404373,1355437,25213330300299
Feeditem,Callout,2022-01-25,13812215,1344490,19766921213836
Feeditem,Callout,2022-01-26,14071832,1377599,19009929837730
Feeditem,Callout,2022-01-27,14298968,1273991,16338130085410
Feeditem,Callout,2022-01-28,14841300,1254776,14582422480550
Feeditem,Callout,2022-01-29,14351858,1305611,10050734823668
Feeditem,Callout,2022-01-30,14736182,1311903,11395427995704
Feeditem,Callout,2022-01-31,13542019,1205942,12657096524429
Feeditem,Callout,2022-02-01,12047590,1156080,12804541405840
Feeditem,Callout,2022-02-02,11686470,1119781,14085223486128
Feeditem,Callout,2022-02-03,12559473,1134017,15087817585428
Feeditem,Callout,2022-02-04,12199348,1112125,14856242679575
Feeditem,Callout,2022-02-05,13353109,1133380,12521114983889
Feeditem,Callout,2022-02-06,13589032,1186302,15002272893453
Feeditem,Callout,2022-02-07,13005748,1124650,21281658706773
Feeditem,Callout,2022-02-08,10856485,1067107,21327968823175
Feeditem,Callout,2022-02-09,10613722,1033703,19892263693395
Feeditem,Callout,2022-02-10,10695317,1030936,21687801731484
Feeditem,Callout,2022-02-11,10157210,1038486,24434804676898
Feeditem,Callout,2022-02-12,9570765,908810,14254868280144
Feeditem,Callout,2022-02-13,8650407,792393,12697093109004
Feeditem,Callout,2022-02-14,8066992,692187,21893581810377
Feeditem,Callout,2022-02-15,7422853,703270,20203572967064
Feeditem,Callout,2022-02-16,6057595,639045,21415647145801
Feeditem,Callout,2022-02-17,1759574,325569,16926568812749
Feeditem,Callout,2022-02-18,1467761,276197,16597603970312
Feeditem,Callout,2022-02-19,1293909,262332,9226030536595
Feeditem,Callout,2022-02-20,1389591,274057,9413070839253
Feeditem,Callout,2022-02-21,1696914,325028,20801863164314
Feeditem,Callout,2022-02-22,1632730,305793,19524516024158
Feeditem,Callout,2022-02-23,1543396,293511,18199215659943
Feeditem,Callout,2022-02-24,1457920,283680,17141419682627
Feeditem,Callout,2022-02-25,1329620,262576,14905410850280
Feeditem,Callout,2022-02-26,1217297,246727,8295305653964
Feeditem,Callout,2022-02-27,1240692,255544,7387614923725
Feeditem,Callout,2022-02-28,1565912,292066,19914795815017
Feeditem,Callout,2022-03-01,1470321,263883,17380213778334
Feeditem,Callout,2022-03-02,1292608,223458,17749113562717
Feeditem,Callout,2022-03-03,964121,154379,17575340102539
Feeditem,Callout,2022-03-04,776239,113219,16367073986274
Feeditem,Callout,2022-03-05,626700,87115,9102301048358
Feeditem,Callout,2022-03-06,681606,98675,9398992508086
Feeditem,Callout,2022-03-07,837220,118469,20728064392562
Feeditem,Callout,2022-03-08,804749,115542,19287847607138
Feeditem,Callout,2022-03-09,816077,119156,19587837407039
Feeditem,Callout,2022-03-10,640452,101892,4237442392623
Feeditem,Callout,2022-03-11,569863,94209,772526238819
Feeditem,Callout,2022-03-12,552587,89326,624302611233
Feeditem,Callout,2022-03-13,589965,98617,544373621705
Feeditem,Callout,2022-03-14,669639,111068,933145743399
Feeditem,Callout,2022-03-15,652367,111163,841991866231
Feeditem,Callout,2022-03-16,647432,109701,902190797004
Feeditem,Callout,2022-03-17,625170,101541,911991669623
Feeditem,Callout,2022-03-18,615611,99099,758818722541
Feeditem,Callout,2022-03-19,549493,89387,570231048432
Feeditem,Callout,2022-03-20,623970,102272,545027426842
Feeditem,Callout,2022-03-21,703254,115681,791514319139
Feeditem,Callout,2022-03-22,686551,112492,938029907953
Feeditem,Callout,2022-03-23,685064,112178,1063442571659
Feeditem,Callout,2022-03-24,644978,107185,854573348877
